Index Raw,Index,Fixed ID,Name Raw,Name
00000000,0,00000001,60C20CF3-F3CF-4976-A8E6-11F4CFFE4226,Expedition Tree
00000001,1,00000002,409DCACD-CE6C-4173-B334-2307D6830447,Ore Tree
00000002,2,AEA16700,77F2BF67-11AC-4148-A627-BD630EE4FB59,Bone Tree
00000003,3,3D53F240,25EF1FEA-84BC-4458-B891-B4267209715C,Chatacabra Tree
00000004,4,B3970D00,0C1A596D-12A2-4224-B753-DD9A6742FF96,Quematrice Tree
00000005,5,B5ACDA00,837B43C9-D2FE-497A-BFB6-5F3BF4D0895A,Lala Barina Tree
00000006,6,D1EE9F80,49E1628E-A0AB-4301-A519-73819E97290E,Congalala Tree
00000007,7,92E8BA80,2803C3F5-7DE4-452E-BE57-011406F3D888,Balahara Tree
00000008,8,E2A340E0,4F464737-373B-4823-B9C7-88C312E592D0,Doshaguma Tree
00000009,9,1DE888E0,D92F5176-9E64-4E51-B2C5-A29CB85128E1,Uth Duna Tree
0000000A,10,FAAB9F40,2FD7ACD8-D863-4BCA-8868-A119BF7023C8,Rompopolo Tree
0000000B,11,DAF2EDC0,69EE1964-9540-4463-93D9-7620E86898E9,Rey Dau Tree
0000000C,12,07AC6800,91EFB27A-72BB-41B2-B71A-98D60C8E882F,Nerscylla Tree
0000000D,13,FF963BB5,B4EE35E0-4F81-47E9-9AF6-EC9F8352AFBA,Hirabami Tree
0000000E,14,3883FA00,72AF5BE2-4A1E-4332-A785-54951E9CB9AA,Ajarakan Tree
0000000F,15,17F27060,5B753BAB-3214-45F4-A6D0-AA092C53FA21,Nu Udra Tree
00000010,16,211BEC80,92EC86A2-E616-49FF-A2E8-B2A58AB9EBE7,G. Doshaguma Tree
00000011,17,1F00FB60,8281167F-4483-466F-989F-EE663DF45726,G. Rathalos Tree
00000012,18,AFB75200,F4DD7855-D6D8-4781-8A70-67EB81B11A44,Jin Dahaad Tree
00000013,19,2D0FB580,F3717880-E1DB-4014-8996-363AF7C5876E,G. Ebony Tree
00000014,20,9BD54F80,70F8EB92-4E24-4A79-8C95-17F1C75DF944,Xu Wu Tree
00000015,21,21578C00,9EF92FC7-A761-4BA6-9599-C789E325159F,G. Arkveld Tree
00000016,22,49E10D80,47867527-AA0F-419F-9FBB-14FE905B0C10,Yian Kut-Ku Tree
00000017,23,3E87A040,71BD6724-F77D-47D2-98F4-C7A7CFA6B466,Gypceros Tree
00000018,24,81B2D500,336B30CB-E8C2-436A-B9A6-9A34225C50E5,Rathian Tree
00000019,25,DAEAFC40,E52445E3-3860-493C-93B0-540D2966E7AE,Rathalos Tree
0000001A,26,3BC33880,2282D599-363D-4587-AF7B-7C2937FF805E,G. Fulgur Tree
0000001B,27,41404D00,0C8C297F-16DA-4ECF-A460-FE56B6136501,Gravios Tree
0000001C,28,49151680,B159B6C4-8499-479F-900C-CCAFCFDD961A,Blangonga Tree
0000001D,29,33597D40,90B2D263-D43E-4CB6-B3A7-21BD53380B4F,Gore Magala Tree
0000001E,30,2DD8FC80,F65403A4-D2C7-430B-B45B-4DD7D2FC4691,Arkveld Tree
0000001F,31,C273A0C0,D5AF0B04-D72F-4B31-9F9E-0E8A66BB4AA2,Water Element Tree
00000020,32,9FA74300,662DF291-6A97-47DA-964C-86C9CFA648B9,Paralysis Tree
00000021,33,B4205980,4BA7F9A5-AC12-4BC0-8A88-21048D749451,Speartuna Tree
00000022,34,59310A80,52954E60-DF36-4A94-AD7C-895D9F0718A9,Vespoid Tree
00000023,35,DF5C8600,FD6BAFF0-6BCF-4751-83D1-61DDDBDFD2D4,Workshop Tree
00000024,36,08B92E50,ECDE878C-BE81-4EF6-983A-34672B7BABC1,Zoh Shia Tree
00000025,37,B9EDC280,AB432F3E-2F4E-449E-B660-078742E027D5,Mizutsune Tree
,#VALUE!,08B1B010,,#N/A
,#VALUE!,D25AC4C0,,#N/A
,#VALUE!,21EAE6C0,,#N/A
,#VALUE!,333A9D00,,#N/A
,#VALUE!,0DDFD990,,#N/A
,#VALUE!,1133D260,,#N/A
,#VALUE!,2EE9E540,,#N/A
,#VALUE!,DBB407C0,,#N/A
,#VALUE!,5FE20680,,#N/A
,#VALUE!,B9229780,,#N/A
,#VALUE!,92F39000,,#N/A
,#VALUE!,86848A00,,#N/A
,#VALUE!,E373E000,,#N/A
,#VALUE!,2D23BDC0,,#N/A
,#VALUE!,2E9CB580,,#N/A